02/01/2018-07:00;20.5;17.6;87.5;19.3
02/01/2018-07:10;20.6;19.9;87.5;19.4
02/01/2018-07:20;20.8;19.0;87.2;19.6
02/01/2018-07:30;21.0;21.0;87.0;19.8
02/01/2018-07:40;21.2;22.2;86.7;20.0
02/01/2018-07:50;21.2;22.0;86.4;20.1
02/01/2018-08:00;21.4;22.4;86.3;20.3
02/01/2018-08:10;21.5;22.5;85.9;20.4
02/01/2018-08:20;21.7;23.0;85.3;20.5
02/01/2018-08:30;21.8;21.0;85.0;20.6
02/01/2018-08:40;21.9;21.8;84.4;20.7
02/01/2018-08:50;22.2;20.2;83.7;21.1
02/01/2018-09:00;22.4;23.1;82.8;21.3
02/01/2018-09:10;22.4;27.4;82.1;21.3
02/01/2018-09:20;22.7;29.8;81.5;21.5
02/01/2018-09:30;22.7;27.9;81.4;21.6
02/01/2018-09:40;22.8;26.3;82.4;21.6
02/01/2018-09:50;23.2;21.8;81.4;22.1
02/01/2018-10:00;23.6;28.5;78.5;22.5
02/01/2018-10:10;23.5;28.9;77.2;22.4
02/01/2018-10:20;23.8;29.6;76.6;22.7
02/01/2018-10:30;24.3;32.2;74.4;23.2
02/01/2018-10:40;24.4;31.4;74.4;23.3
02/01/2018-10:50;24.5;26.7;73.6;23.4
02/01/2018-11:00;24.4;33.2;72.9;23.3
02/01/2018-11:10;24.4;34.3;73.0;23.3
02/01/2018-11:20;24.6;35.7;72.2;23.5
02/01/2018-11:30;25.0;34.5;72.1;23.9
02/01/2018-11:40;25.6;45.9;69.1;24.4
02/01/2018-11:50;26.0;42.8;68.5;24.8
02/01/2018-12:00;25.4;44.3;69.1;24.3
02/01/2018-12:10;25.4;43.8;70.3;24.2
02/01/2018-12:20;25.3;41.8;69.8;24.2
02/01/2018-12:30;25.5;37.5;70.5;24.3
02/01/2018-12:40;25.7;42.4;68.9;24.5
02/01/2018-12:50;25.7;42.4;68.9;24.5
02/01/2018-13:00;25.7;42.4;68.9;24.5
02/01/2018-13:10;25.1;45.2;70.8;24.0
02/01/2018-13:20;25.4;44.5;70.1;24.3
02/01/2018-13:30;25.1;45.3;71.0;24.0
02/01/2018-13:40;25.3;43.5;69.6;24.1
02/01/2018-13:50;25.5;46.2;67.9;24.3
02/01/2018-14:00;26.2;42.2;67.8;25.0
02/01/2018-14:10;26.4;43.7;67.0;25.2
02/01/2018-14:20;26.0;38.8;66.9;24.8
02/01/2018-14:30;26.0;37.4;66.6;24.8
02/01/2018-14:40;26.0;37.5;67.3;24.8
02/01/2018-14:50;26.5;34.0;65.5;25.3
02/01/2018-15:00;26.8;38.0;63.7;25.5
02/01/2018-15:10;26.9;35.0;63.1;25.7
02/01/2018-15:20;27.3;33.0;62.3;26.0
02/01/2018-15:30;27.6;34.0;62.2;26.3
02/01/2018-15:40;27.6;34.6;62.1;26.3
02/01/2018-15:50;27.5;40.5;62.2;26.2
02/01/2018-16:00;27.1;34.1;62.3;25.9
02/01/2018-16:10;28.2;31.1;59.6;26.9
02/01/2018-16:20;27.5;35.8;59.6;26.2
02/01/2018-16:30;27.5;34.2;60.5;26.2
02/01/2018-16:40;27.7;31.9;58.8;26.4
02/01/2018-16:50;27.9;31.5;58.7;26.6
02/01/2018-17:00;27.7;34.9;59.6;26.4
02/01/2018-17:10;28.3;36.7;57.5;26.9
02/01/2018-17:20;27.9;35.7;58.2;26.6
02/01/2018-17:30;28.0;32.7;59.4;26.7
02/01/2018-17:40;27.7;34.5;60.7;26.4
02/01/2018-17:50;27.2;33.5;62.2;25.9
02/01/2018-18:00;26.8;28.3;63.6;25.5
02/01/2018-18:10;25.7;25.4;71.1;24.5
02/01/2018-18:20;24.0;31.7;80.4;22.9
02/01/2018-18:30;23.9;16.1;81.5;22.7
02/01/2018-18:40;24.0;16.7;81.1;22.9
02/01/2018-18:50;23.6;23.0;82.4;22.5
02/01/2018-19:00;23.0;11.2;85.6;21.9
02/01/2018-19:10;23.2;44.5;81.3;22.1
02/01/2018-19:20;21.2;60.7;83.1;20.1
02/01/2018-19:30;21.2;34.6;83.4;20.0
02/01/2018-19:40;21.3;27.3;82.9;20.1
02/01/2018-19:50;21.1;26.5;84.5;20.0
02/01/2018-20:00;21.3;18.5;84.4;20.1
02/01/2018-20:10;21.1;9.4;85.3;19.9
02/01/2018-20:20;20.8;11.6;86.5;19.6
02/01/2018-20:30;20.6;12.0;87.2;19.4
02/01/2018-20:40;20.5;13.4;87.5;19.3
02/01/2018-20:50;20.5;13.7;87.6;19.4
02/01/2018-21:00;20.6;14.6;87.6;19.4
02/01/2018-21:10;20.6;14.8;87.4;19.4
02/01/2018-21:20;20.6;18.5;87.1;19.4
02/01/2018-21:30;20.6;19.0;87.2;19.4
02/01/2018-21:40;20.5;17.4;87.3;19.4
02/01/2018-21:50;20.5;16.5;87.3;19.4
02/01/2018-22:00;20.5;15.5;87.5;19.3
02/01/2018-22:10;20.5;17.2;87.5;19.3
02/01/2018-22:20;20.5;20.6;87.0;19.3
02/01/2018-22:30;20.4;19.4;86.7;19.2
02/01/2018-22:40;20.4;19.4;86.7;19.2
02/01/2018-22:50;20.4;16.1;86.7;19.2
02/01/2018-23:00;20.5;18.4;86.1;19.3
02/01/2018-23:10;20.6;15.0;85.8;19.4
02/01/2018-23:20;20.5;14.9;86.2;19.4
02/01/2018-23:30;20.5;15.4;86.2;19.4
02/01/2018-23:40;20.6;17.6;86.2;19.4
02/01/2018-23:50;20.5;17.2;86.1;19.3
03/01/2018-00:00;20.4;18.4;86.2;19.2
03/01/2018-00:10;20.5;20.1;85.9;19.3
03/01/2018-00:20;20.5;24.9;85.6;19.3
03/01/2018-00:30;20.6;26.5;85.1;19.4
03/01/2018-00:40;20.8;20.6;84.9;19.6
03/01/2018-00:50;20.9;18.6;84.9;19.7
03/01/2018-01:00;21.0;18.7;84.6;19.8
03/01/2018-01:10;21.0;17.3;84.5;19.8
03/01/2018-01:20;21.0;16.2;84.9;19.8
03/01/2018-01:30;20.9;18.2;85.2;19.7
03/01/2018-01:40;20.9;18.0;85.4;19.8
03/01/2018-01:50;20.9;19.0;85.4;19.7
03/01/2018-02:00;20.9;19.6;85.5;19.7
03/01/2018-02:10;20.9;15.7;85.6;19.7
03/01/2018-02:20;20.9;18.5;85.7;19.7
03/01/2018-02:30;20.9;21.3;85.7;19.7
03/01/2018-02:40;20.9;18.7;86.0;19.7
03/01/2018-02:50;20.9;16.2;86.3;19.7
03/01/2018-03:00;20.8;16.9;86.5;19.6
03/01/2018-03:10;20.8;16.5;86.6;19.6
03/01/2018-03:20;20.8;15.3;86.6;19.6
03/01/2018-03:30;20.9;17.8;86.6;19.7
03/01/2018-03:40;20.9;19.2;86.6;19.7
03/01/2018-03:50;20.9;22.5;86.3;19.7
03/01/2018-04:00;20.9;23.4;86.2;19.7
03/01/2018-04:10;20.9;24.5;86.0;19.8
03/01/2018-04:20;21.0;21.5;86.1;19.8
03/01/2018-04:30;21.0;22.6;85.8;19.9
03/01/2018-04:40;21.0;26.7;85.8;19.8
03/01/2018-04:50;21.0;22.2;86.3;19.8
03/01/2018-05:00;20.9;22.5;86.4;19.8
03/01/2018-05:10;21.0;21.5;86.3;19.8
03/01/2018-05:20;21.0;21.4;86.5;19.8
03/01/2018-05:30;21.0;25.5;86.4;19.8
03/01/2018-05:40;21.0;24.8;86.0;19.8
03/01/2018-05:50;21.0;21.1;86.3;19.8
03/01/2018-06:00;21.0;21.1;86.4;19.8
03/01/2018-06:10;21.0;20.8;86.2;19.8
03/01/2018-06:20;21.0;21.3;86.0;19.8
03/01/2018-06:30;21.0;20.6;86.0;19.8
03/01/2018-06:40;21.0;21.6;85.9;19.8
03/01/2018-06:50;21.0;20.3;85.8;19.8
03/01/2018-07:00;21.0;21.9;85.7;19.8
03/01/2018-07:10;21.0;21.6;85.6;19.8
03/01/2018-07:20;21.0;21.2;85.8;19.8
03/01/2018-07:30;21.0;25.3;85.5;19.9
03/01/2018-07:40;21.1;22.7;85.2;20.0
03/01/2018-07:50;21.2;22.9;85.0;20.0
03/01/2018-08:00;21.2;21.7;84.9;20.0
03/01/2018-08:10;21.1;21.7;84.7;20.0
03/01/2018-08:20;21.2;25.1;84.3;20.0
03/01/2018-08:30;21.2;21.6;84.0;20.1
03/01/2018-08:40;21.4;24.6;82.6;20.2
03/01/2018-08:50;21.3;29.0;82.6;20.2
03/01/2018-09:00;21.4;25.1;82.7;20.2
03/01/2018-09:10;21.3;24.3;82.6;20.2
03/01/2018-09:20;21.5;20.0;82.7;20.3
03/01/2018-09:30;21.4;29.5;82.3;20.2
03/01/2018-09:40;21.4;28.2;82.2;20.2
03/01/2018-09:50;21.3;27.4;82.4;20.1
03/01/2018-10:00;21.3;30.8;82.5;20.1
03/01/2018-10:10;21.4;27.1;82.9;20.2
03/01/2018-10:20;21.3;26.6;83.8;20.2
03/01/2018-10:30;21.3;26.3;84.7;20.1
03/01/2018-10:40;21.3;28.1;84.6;20.1
03/01/2018-10:50;21.3;28.1;84.6;20.1
03/01/2018-11:00;21.5;27.1;83.8;20.4
03/01/2018-11:10;22.5;23.0;81.1;21.3
03/01/2018-11:20;22.7;20.8;80.0;21.5
03/01/2018-11:30;22.6;24.9;79.7;21.5
03/01/2018-11:40;22.8;30.2;78.6;21.6
03/01/2018-11:50;23.6;27.6;75.8;22.5
03/01/2018-12:00;23.8;26.3;75.3;22.7
03/01/2018-12:10;23.5;28.2;75.4;22.4
03/01/2018-12:20;23.5;24.6;75.4;22.3
03/01/2018-12:30;24.3;24.7;73.7;23.2
03/01/2018-12:40;24.4;20.3;73.0;23.3
03/01/2018-12:50;24.0;25.8;72.3;22.9
03/01/2018-13:00;23.5;25.9;76.3;22.4
03/01/2018-13:10;23.0;19.9;80.6;21.9
03/01/2018-13:20;23.1;17.2;81.4;22.0
03/01/2018-13:30;23.3;15.5;81.6;22.1
03/01/2018-13:40;23.3;15.5;81.6;22.1
03/01/2018-13:50;24.8;20.7;74.0;23.7
